iter	Passed	Remaining
629	25948	15239
630	25996	15202
631	26044	15164
632	26093	15128
633	26134	15086
634	26174	15045
635	26210	15000
636	26250	14958
637	26289	14916
638	26329	14874
639	26367	14831
640	26406	14789
641	26447	14748
642	26487	14706
643	26527	14664
644	26567	14622
645	26607	14580
646	26648	14539
647	26691	14499
648	26741	14462
649	26801	14431
650	26847	14392
651	26889	14352
652	26938	14314
653	26985	14276
654	27032	14238
655	27083	14202
656	27129	14163
657	27171	14122
658	27208	14079
659	27248	14037
660	27292	13997
661	27332	13955
662	27371	13912
663	27414	13872
664	27458	13832
665	27500	13791
666	27540	13749
667	27580	13707
668	27620	13665
669	27659	13623
670	27698	13580
671	27737	13538
672	27778	13496
673	27819	13455
674	27857	13413
675	27898	13371
676	27947	13333
677	27988	13292
678	28036	13254
679	28077	13213
680	28118	13171
681	28158	13129
682	28199	13087
683	28238	13046
684	28279	13004
685	28321	12963
686	28360	12921
687	28402	12880
688	28443	12838
689	28483	12797
690	28524	12755
691	28565	12714
692	28608	12673
693	28649	12632
694	28688	12590
695	28729	12548
696	28767	12505
697	28809	12464
698	28849	12422
699	28890	12381
700	28926	12338
701	28964	12295
702	29011	12256
703	29059	12218
704	29101	12177
705	29145	12136
706	29184	12095
707	29225	12053
708	29263	12010
709	29305	11970
710	29348	11929
711	29389	11887
712	29430	11846
713	29470	11804
714	29512	11763
715	29554	11722
716	29593	11680
717	29633	11638
718	29673	11596
719	29714	11555
720	29750	11512
721	29792	11471
722	29832	11429
723	29870	11387
724	29910	11345
725	29951	11303
726	29995	11263
727	30043	11224
728	30084	11183
729	30125	11142
730	30164	11100
731	30204	11058
732	30245	11016
733	30286	10975
734	30328	10934
735	30373	10894
736	30413	10853
737	30453	10811
738	30494	10770
739	30534	10728
740	30576	10687
741	30618	10646
742	30663	10606
743	30706	10565
744	30749	10525
745	30788	10483
746	30831	10442
747	30870	10400
748	30910	10358
749	30951	10317
750	30997	10277
751	31041	10237
752	31083	10195
753	31123	10154
754	31165	10113
755	31207	10072
756	31249	10031
757	31290	9989
758	31330	9948
759	31371	9906
760	31412	9865
761	31453	9824
762	31492	9781
763	31531	9740
764	31570	9698
765	31610	9656
766	31651	9615
767	31691	9573
768	31729	9531
769	31768	9489
770	31815	9449
771	31859	9409
772	31904	9369
773	31946	9328
774	31990	9287
775	32034	9246
776	32075	9205
777	32115	9164
778	32154	9122
779	32196	9081
780	32238	9039
781	32277	8998
782	32318	8956
783	32360	8915
784	32402	8874
785	32441	8832
786	32482	8791
787	32521	8749
788	32561	8707
789	32607	8667
790	32647	8626
791	32687	8584
792	32726	8542
793	32768	8501
794	32810	8460
795	32850	8419
796	32891	8377
797	32932	8336
798	32975	8295
799	33021	8255
800	33068	8215
801	33108	8173
802	33146	8131
803	33185	8090
804	33226	8048
805	33268	8007
806	33309	7966
807	33349	7924
808	33398	7885
809	33440	7844
810	33480	7802
811	33535	7764
812	33576	7722
813	33618	7681
814	33662	7641
815	33700	7599
816	33745	7558
817	33789	7517
818	33830	7476
819	33872	7435
820	33915	7394
821	33955	7352
822	34000	7312
823	34048	7272
824	34092	7231
825	34136	7191
826	34177	7149
827	34216	7107
828	34256	7066
829	34295	7024
830	34335	6982
831	34379	6941
832	34421	6900
833	34462	6859
834	34501	6817
835	34538	6775
836	34578	6734
837	34619	6692
838	34659	6650
839	34699	6609
840	34738	6567
841	34776	6525
842	34818	6484
843	34857	6442
844	34901	6401
845	34947	6361
846	34997	6321
847	35049	6282
848	35089	6240
849	35129	6199
850	35168	6157
851	35207	6115
852	35251	6075
853	35291	6033
854	35330	5991
855	35373	5950
856	35412	5908
857	35453	5867
858	35494	5826
859	35535	5784
860	35575	5743
861	35610	5700
862	35653	5660
863	35694	5618
864	35736	5577
865	35772	5535
866	35814	5493
867	35853	5452
868	35893	5410
869	35935	5369
870	35980	5328
871	36029	5288
872	36077	5248
873	36129	5208
874	36174	5167
875	36216	5126
876	36257	5085
877	36298	5043
878	36337	5002
879	36380	4960
880	36421	4919
881	36462	4878
882	36501	4836
883	36540	4794
884	36581	4753
885	36620	4711
886	36662	4670
887	36703	4629
888	36742	4587
889	36787	4546
890	36827	4505
891	36867	4463
892	36904	4421
893	36945	4380
894	36993	4340
895	37037	4298
896	37083	4258
897	37125	4216
898	37168	4175
899	37215	4135
900	37259	4093
901	37300	4052
902	37344	4011
903	37387	3970
904	37427	3928
905	37468	3887
906	37510	3846
907	37551	3804
908	37592	3763
909	37634	3722
910	37675	3680
911	37715	3639
912	37752	3597
913	37794	3556
914	37833	3514
915	37871	3472
916	37911	3431
917	37955	3390
918	38004	3349
919	38048	3308
920	38087	3266
921	38127	3225
922	38176	3184
923	38215	3143
924	38255	3101
925	38299	3060
926	38341	3019
927	38384	2978
928	38424	2936
929	38465	2895
930	38504	2853
931	38543	2812
932	38583	2770
933	38623	2729
934	38665	2687
935	38706	2646
936	38746	2605
937	38788	2563
938	38828	2522
939	38867	2480
940	38905	2439
941	38951	2398
942	38997	2357
943	39039	2315
944	39079	2274
945	39120	2233
946	39159	2191
947	39199	2150
948	39240	2108
949	39280	2067
950	39322	2026
951	39365	1984
952	39407	1943
953	39447	1902
954	39486	1860
955	39529	1819
956	39570	1777
957	39610	1736
958	39649	1695
959	39689	1653
960	39728	1612
961	39772	1571
962	39811	1529
963	39851	1488
964	39892	1446
965	39931	1405
966	39976	1364
967	40020	1322
968	40060	1281
969	40099	1240
970	40140	1198
971	40182	1157
972	40222	1116
973	40264	1074
974	40305	1033
975	40352	992
976	40393	950
977	40434	909
978	40474	868
979	40514	826
980	40553	785
981	40593	744
982	40631	702
983	40672	661
984	40712	619
985	40753	578
986	40794	537
987	40833	495
988	40873	454
989	40912	413
990	40961	372
991	41005	330
992	41047	289
993	41087	248
994	41128	206
995	41168	165
996	41207	123
997	41247	82
998	41287	41
999	41330	0
